Errors for Brill Tagger None

             left context |    word/test->gold     | right context
--------------------------+------------------------+--------------------------
                          |      Soon/NN->RB       | ,/, T-shirts/NNS *ICH*-1/
n/IN the/DT corridors/NNS |      that/IN->WDT      | *T*-2/-NONE- carried/VBD 
NNS that/WDT *T*-2/-NONE- |    carried/VBN->VBD    | the/DT school/NN 's/POS f
D the/DT school/NN 's/POS |    familiar/NN->JJ     | red-and-white/JJ GHS/NNP 
ool/NN 's/POS familiar/JJ |  red-and-white/NN->JJ  | GHS/NNP logo/NN on/IN the
iliar/JJ red-and-white/JJ |      GHS/NN->NNP       | logo/NN on/IN the/DT fron
/NN ,/, the/DT shirts/NNS |     read/VBP->VBD      | ,/, ``/`` We/PRP have/VBP
,/, ``/`` We/PRP have/VBP |      all/DT->PDT       | the/DT answers/NNS ./. ''
JJ colleagues/NNS are/VBP |      angry/NN->JJ      | at/IN Mrs./NNP Yeargin/NN
n/NNP Rice/NNP ,/, who/WP |   *T*-100/NN->-NONE-   | had/VBD discovered/VBN th
VBD discovered/VBN the/DT |      crib/JJ->NN       | notes/NNS ./.
             ``/`` We/PRP |      work/NN->VBP      | damn/RB hard/RB at/IN wha
    ``/`` We/PRP work/VBP |      damn/NN->RB       | hard/RB at/IN what/WP we/
/IN what/WP we/PRP do/VBP |   *T*-101/NN->-NONE-   | for/IN damn/RB little/JJ 
VBP *T*-101/-NONE- for/IN |      damn/NN->RB       | little/JJ pay/NN ,/, and/
 for/IN damn/RB little/JJ |       pay/VB->NN       | ,/, and/CC what/WP she/PR
  Says/VBZ *ICH*-1/-NONE- |     Gayle/NN->NNP      | Key/NNP ,/, a/DT mathemat
 *ICH*-1/-NONE- Gayle/NNP |      Key/NN->NNP       | ,/, a/DT mathematics/NN t
ayle/NNP Key/NNP ,/, a/DT |  mathematics/NNS->NN   | teacher/NN ,/, ``/`` The/
``/`` The/DT incentive/NN |       pay/VB->NN       | thing/NN has/VBZ opened/V
VBZ opened/VBN up/RP a/DT |       can/MD->NN       | of/IN worms/NNS ./.
P *EXP*-2/-NONE- would/MD |       no/DT->RB        | longer/RBR be/VB possible
*-2/-NONE- would/MD no/RB |    longer/JJR->RBR     | be/VB possible/JJ *-1/-NO
ecause/IN she/PRP was/VBD |     afraid/NN->JJ      | of/IN further/JJ charges/
P was/VBD afraid/JJ of/IN |    further/RBR->JJ     | charges/NNS ./.
for/IN one/CD ,/, was/VBD |    relieved/VBN->JJ    | ./.
hat/IN ``/`` I/PRP 'm/VBP |     afraid/NN->JJ      | 0/-NONE- a/DT jury/NN wou
/RB have/VB convicted/VBN |     her/PRP$->PRP      | ./.
to/TO know/VB :/: What/WP |      's/POS->VBZ       | *T*-2/-NONE- on/IN the/DT
E- in/IN the/DT weeks/NNS |      prior/NN->RB      | to/TO */-NONE- taking/VBG
                   The/DT |  mathematics/NNS->NN   | section/NN of/IN the/DT w
NN of/IN the/DT widely/RB |      used/VBN->JJ      | California/NNP Achievemen
RB used/JJ California/NNP |  Achievement/NN->NNP   | Test/NNP asks/VBZ fifth/J
ornia/NNP Achievement/NNP |      Test/NN->NNP      | asks/VBZ fifth/JJ graders
/DT name/NN for/IN the/DT |      Roman/NN->JJ      | numeral/NN IX/CD ?/. ''/'
he/DT Roman/JJ numeral/NN |       IX/NN->CD        | ?/. ''/''
Worksheets/NNS in/IN a/DT |  test-practice/NN->JJ  | kit/NN called/VBN */-NONE
ublishing/NNP Co./NNP ,/, |    contain/VB->VBP     | the/DT same/JJ questions/
                  What/WP |   *T*-102/NN->-NONE-   | 's/VBZ more/JJR ,/, the/D
   What/WP *T*-102/-NONE- |      's/POS->VBZ       | more/JJR ,/, the/DT test/
/WP *T*-102/-NONE- 's/VBZ |     more/RBR->JJR      | ,/, the/DT test/NN and/CC
/NNP 's/POS parent/NN ,/, |    Britain/NN->NNP     | 's/POS Maxwell/NNP Commun
in/NNP 's/POS Maxwell/NNP | Communication/NN->NNP  | Corp/NNP ./.
                          |      Close/NN->JJ      | parallels/NNS between/IN 
                          | Test-preparation/NN->JJ | booklets/NNS ,/, software
nt/VBP a/DT form/NN of/IN | school-sponsored/VBD->JJ | cheating/NN ./.
VBZ *T*-2/-NONE- John/NNP |    Kaminski/NN->NNP    | ,/, a/DT Traverse/NNP Cit
NNP Kaminski/NNP ,/, a/DT |    Traverse/NN->NNP    | City/NNP ,/, Mich./NNP ,/
Traverse/NNP City/NNP ,/, |     Mich./NN->NNP      | ,/, teacher/NN who/WP *T*
NNP ,/, teacher/NN who/WP |   *T*-103/NN->-NONE-   | has/VBZ studied/VBN test/
s/VBZ studied/VBN test/NN |    coaching/VBG->NN    | ./.
 say/VBP 0/-NONE- such/JJ |    coaching/VBG->NN    | aids/NNS can/MD defeat/VB
J tests/NNS ,/, which/WDT |   *T*-104/NN->-NONE-   | is/VBZ */-NONE- to/TO gau
Z */-NONE- to/TO gauge/VB |    learning/VBG->NN    | progress/NN ./.
 *-1/-NONE- to/TO give/VB |      only/RB->JJ       | French/JJ history/NN ques
/CC when/WRB everybody/NN |     aces/NNS->VBZ      | the/DT test/NN *T*-3/-NON
ucation/NNP ,/, which/WDT |   *T*-105/NN->-NONE-   | has/VBZ studied/VBN stand
                          |  Standardized/VBD->JJ  | achievement/NN tests/NNS 
indergarten/NN through/IN |     eighth/NN->JJ      | grade/NN ./.
                   The/DT |     most/JJS->RBS      | widely/RB used/JJ of/IN t
The/DT most/RBS widely/RB |      used/VBN->JJ      | of/IN these/DT tests/NNS 
hese/DT tests/NNS are/VBP | Macmillan\/McGraw/NN->NNP | 's/POS CAT/NNP and/CC Com
millan\/McGraw/NNP 's/POS |      CAT/NN->NNP       | and/CC Comprehensive/NNP 
NNP 's/POS CAT/NNP and/CC | Comprehensive/JJ->NNP  | Test/NN of/IN Basic/JJ Sk
/JJ Skills/NNS ;/: the/DT |      Iowa/NN->NNP      | Test/NN of/IN Basic/JJ Sk
c/JJ Skills/NNS ,/, by/IN |    Houghton/NN->NNP    | Mifflin/NNP Co./NNP ;/: a
